ID;Word;Lemma;POS;Extra;Features;HeadPosition;Relation;_;Else
1;А;а;CCONJ;_;_;_;_;_;@tim1995-words#Татьяна_Ильдаровна_Мингалимова#3.399#3.687
2;с;с;ADP;_;_;_;_;_;@tim1995-words#Татьяна_Ильдаровна_Мингалимова#3.687#3.975
3;чего;что;PRON;_;Case=Gen;_;_;_;@tim1995-words#Татьяна_Ильдаровна_Мингалимова#3.975#4.263
4;началось;начаться;VERB;_;Aspect=Perf|Gender=Neut|Mood=Ind|Number=Sing|Tense=Past|VerbForm=Fin|Voice=Mid;_;_;_;@tim1995-words#Татьяна_Ильдаровна_Мингалимова#4.263#4.551
5;такое;такой;DET;_;Case=Nom|Gender=Neut|Number=Sing;_;_;_;@tim1995-words#Татьяна_Ильдаровна_Мингалимова#4.551#4.839
6;творчество?;творчество?;PUNCT;_;_;_;_;_;@tim1995-words#Татьяна_Ильдаровна_Мингалимова#4.839#5.127
7;Ну;ну;PART;_;_;_;_;_;@tim1995-words#Татьяна_Ильдаровна_Мингалимова#5.127#5.415
8;то;то;PRON;_;Animacy=Inan|Case=Nom|Gender=Neut|Number=Sing;_;_;_;@tim1995-words#Татьяна_Ильдаровна_Мингалимова#5.415#5.703
9;есть;быть;VERB;_;Aspect=Imp|Mood=Ind|Number=Sing|Person=3|Tense=Pres|VerbForm=Fin|Voice=Act;_;_;_;@tim1995-words#Татьяна_Ильдаровна_Мингалимова#5.703#5.991
10;очевидно;очевидно;ADV;_;Degree=Pos;_;_;_;@tim1995-words#Татьяна_Ильдаровна_Мингалимова#5.991#6.281
11;и;и;CCONJ;_;_;_;_;_;@tim1995-words#Татьяна_Ильдаровна_Мингалимова#6.777#7.055
12;думаю;думать;VERB;_;Aspect=Imp|Mood=Ind|Number=Sing|Person=1|Tense=Pres|VerbForm=Fin|Voice=Act;_;_;_;@tim1995-words#Татьяна_Ильдаровна_Мингалимова#7.055#7.333
